date	stage	time	values
2020-02-26	infectious	start	3.1763468809983446
2020-02-26	symptoms	start	2.0736672510779095
2020-02-26	infectious	end	0
2020-02-26	symptoms	end	0
2020-02-26	positive	end	0
2020-02-26	reported	end	1.4387694880243938
2020-02-26	symptoms	new	2.0736672510779095
2020-02-26	symptoms	active	9.796773031146168
2020-02-26	presymp	new	1.9562310907622211
2020-02-26	presymp	active	8.688738665381656
2020-02-26	positive	new	4.029898341840131
2020-02-26	positive	active	18.485511696527826
2020-02-26	infectious	new	3.1763468809983446
2020-02-26	infectious	active	14.623965122179396
2020-02-26	possymp	new	0
2020-02-26	possymp	active	0
2020-02-27	infections	start	8.624295571220028
2020-02-27	positive	start	5.150237081980916
2020-02-27	infectious	start	4.044046623034357
2020-02-27	symptoms	start	2.632766500808504
2020-02-27	infectious	end	0.012094546045690727
2020-02-27	symptoms	end	0
2020-02-27	positive	end	0
2020-02-27	reported	end	0.9591796586829292
2020-02-27	symptoms	new	2.632766500808504
2020-02-27	symptoms	active	12.429539531954672
2020-02-27	presymp	new	2.517470581172412
2020-02-27	presymp	active	11.206209246554069
2020-02-27	positive	new	5.150237081980916
2020-02-27	positive	active	23.63574877850874
2020-02-27	infectious	new	4.0319520769886665
2020-02-27	infectious	active	18.655917199168062
2020-02-27	possymp	new	0
2020-02-27	possymp	active	0
2020-02-28	infections	start	11.0908734063742
2020-02-28	positive	start	6.659553403314894
2020-02-28	infectious	start	5.157895139242376
2020-02-28	symptoms	start	3.3755330270957002
2020-02-28	infectious	end	0.09548824506210603
2020-02-28	symptoms	end	0
2020-02-28	positive	end	0
2020-02-28	reported	end	1.9183593173658584
2020-02-28	symptoms	new	3.3755330270957002
2020-02-28	symptoms	active	15.805072559050373
2020-02-28	presymp	new	3.284020376219194
2020-02-28	presymp	active	14.490229622773262
2020-02-28	positive	new	6.659553403314894
2020-02-28	positive	active	30.295302181823637
2020-02-28	infectious	new	5.06240689418027
2020-02-28	infectious	active	23.718324093348333
2020-02-28	possymp	new	0
2020-02-28	possymp	active	0
2020-02-29	infections	start	14.208157904220858
2020-02-29	positive	start	8.612872403800656
2020-02-29	infectious	start	6.6619757173895255
2020-02-29	symptoms	start	4.285247479304412
2020-02-29	infectious	end	0.2653492675907785
2020-02-29	symptoms	end	0.019770118174869716
2020-02-29	positive	end	0
2020-02-29	reported	end	1.4387694880243938
2020-02-29	symptoms	new	4.265477361129543
2020-02-29	symptoms	active	20.070549920179914
2020-02-29	presymp	new	4.327624924496244
2020-02-29	presymp	active	18.817854547269505
2020-02-29	positive	new	8.612872403800656
2020-02-29	positive	active	38.908174585624295
2020-02-29	infectious	new	6.396626449798747
2020-02-29	infectious	active	30.114950543147078
2020-02-29	possymp	new	0.019770118174869716
2020-02-29	possymp	active	0.019770118174869716
2020-03-01	infections	start	18.06293852477605
2020-03-01	positive	start	11.061759743574381
2020-03-01	infectious	start	8.607908926253433
2020-03-01	symptoms	start	5.463604837861424
2020-03-01	infectious	end	0.4903130874873307
2020-03-01	symptoms	end	0.10727051648548863
2020-03-01	positive	end	0
2020-03-01	reported	end	1.4387694880243938
2020-03-01	symptoms	new	5.356334321375935
2020-03-01	symptoms	active	25.42688424155585
2020-03-01	presymp	new	5.598154905712957
2020-03-01	presymp	active	24.416009452982465
2020-03-01	positive	new	11.061759743574381
2020-03-01	positive	active	49.96993432919867
2020-03-01	infectious	new	8.117595838766103
2020-03-01	infectious	active	38.23254638191318
2020-03-01	possymp	new	0.10727051648548863
